platform,name,url,type,priority
douyin,老魏聊亚马逊,https://www.douyin.com/user/MS4wLjABAAAA46kxP9WfVvfCh_eGppAxrN0FpAsakvS0JkBi5PMvdZyXgexLrSulJA22hd-IzyFM,creator,9
douyin,跨境刀哥,https://www.douyin.com/user/MS4wLjABAAAAejMPMsoTSDbEXN3dn-floiylV5ACQjyinval2pLKPUHDJG0s0XgEEZl1FpDiUeTP,creator,9
douyin,跨境吴老师,https://www.douyin.com/user/MS4wLjABAAAA50mp5rlmfSPWkIEBazs2EQrQNeSQSHc7VSBMz2x05MSvBpqg7E3aWbNuw6WgEgFe,creator,9
douyin,跨境电商365,https://www.douyin.com/user/MS4wLjABAAAAvJrLbz3LrfFIqthVKjlat56lsQEPDAhy8DEqiCq7wkPYn2mjJiF92GuASFbo2JPM,creator,8
douyin,跨境小学生Shawn,https://www.douyin.com/user/MS4wLjABAAAAgP086f1Lga3gqTuyfNER0rAXyZsC9JKaaEgaHC2Il-I,creator,8
douyin,阿波罗的lingfei,https://www.douyin.com/user/MS4wLjABAAAAcDRHW5-xxbA6De5Id_BenaQoD5xaZbLTUdUBZaChJJNVJgc59QQIsGgJsIYCm474,creator,8
douyin,Skyla跨境电商,https://www.douyin.com/user/MS4wLjABAAAACPf06QEMIAGj9dMDHq51ew5UBM4xOyVDQMGDTk47os4DHzI0RT_JiiLjTyczEchr,creator,8
douyin,Moss说跨境,https://www.douyin.com/user/MS4wLjABAAAAmIeNVPEZ5jprhFPYZg55Tq92LfLabS6LITgaLLKf1KE,creator,8
douyin,Wade聊跨境电商,https://www.douyin.com/user/MS4wLjABAAAAKMyOsFl6uH-bXMgCAU2kYzYVUC67lPYXUfgcMxLENy8,creator,7
douyin,跨境问题找朵拉,https://www.douyin.com/user/MS4wLjABAAAA8phqUCaj18keyiTU1o2OBVxGlFRrZwD7iJ96n51bckR5SBQZbg39zm8uEsiCVJeQ,creator,7
xiaohongshu_search,跨境小A,https://www.xiaohongshu.com/search_result?keyword=%E8%B7%A8%E5%A2%83%E5%B0%8FA,creator_search,8
xiaohongshu_search,Jennifer玩跨境,https://www.xiaohongshu.com/search_result?keyword=Jennifer%E7%8E%A9%E8%B7%A8%E5%A2%83,creator_search,8
xiaohongshu_search,小捷聊跨境,https://www.xiaohongshu.com/search_result?keyword=%E5%B0%8F%E6%8D%B7%E8%81%8A%E8%B7%A8%E5%A2%83,creator_search,8
xiaohongshu_search,希声碎碎念,https://www.xiaohongshu.com/search_result?keyword=%E5%B8%8C%E5%A3%B0%E7%A2%8E%E7%A2%8E%E5%BF%B5,creator_search,7
xiaohongshu_search,跨境移花宫,https://www.xiaohongshu.com/search_result?keyword=%E8%B7%A8%E5%A2%83%E7%A7%BB%E8%8A%B1%E5%AE%AB,creator_search,7
xiaohongshu_search,雪球站外,https://www.xiaohongshu.com/search_result?keyword=%E9%9B%AA%E7%90%83%E7%AB%99%E5%A4%96,creator_search,7
xiaohongshu_search,跨境老鸟Mike,https://www.xiaohongshu.com/search_result?keyword=%E8%B7%A8%E5%A2%83%E8%80%81%E9%B8%9FMike,creator_search,7
xiaohongshu_search,亚马逊运营阿星,https://www.xiaohongshu.com/search_result?keyword=%E4%BA%9A%E9%A9%AC%E9%80%8A%E8%BF%90%E8%90%A5%E9%98%BF%E6%98%9F,creator_search,7
xiaohongshu_search,亚马逊个人卖家,https://www.xiaohongshu.com/search_result?keyword=%E4%BA%9A%E9%A9%AC%E9%80%8A%E4%B8%AA%E4%BA%BA%E5%8D%96%E5%AE%B6,creator_search,7
xiaohongshu_search,亚马逊广告个人经验,https://www.xiaohongshu.com/search_result?keyword=%E4%BA%9A%E9%A9%AC%E9%80%8A%E5%B9%BF%E5%91%8A%E4%B8%AA%E4%BA%BA%E7%BB%8F%E9%AA%8C,creator_search,7
wechat_creator,MARK跨境,https://m.cifnews.com/observer/mkj,creator,8
wechat_creator,跨境小波儿,https://m.cifnews.com/observer/kjxb,creator,8
wechat_creator,亚马逊胖蝌蚪,https://m.cifnews.com/observer/pang,creator,8
wechat_creator,酷哥说电商,https://m.amz123.com/author-263,creator,8
wechat_creator,跨境小M哥,https://m.amz123.com/author-102783,creator,8
wechat_creator,熊哥的跨境笔记,https://m.amz123.com/author-201,creator,7
wechat_creator,悉尼刘哥,https://m.amz123.com/author-13653,creator,7
wechat_creator,Wendy聊聊独立站,https://m.amz123.com/author-103523,creator,7
wechat_creator,跨境侵权哥,https://m.amz123.com/author-51958,creator,7
wechat_creator,超哥电商日记,https://m.amz123.com/author-71128,creator,6
